UUID        = 580c007b-2513-44e2-b0e3-073272ff6917
ScanDate    = 20180913_092406
LogVersion  = EJA_1
LogDataType = PULS
SampleTime  = 2

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     13574724     PULS   2673 
     13574726     PULS   2635 
     13574728     PULS   2600 
     13574730     PULS   2565 
     13574732     PULS   2530 
     13574734     PULS   2495 
     13574736     PULS   2458 
     13574738     PULS   2423 
     13574740     PULS   2388 
     13574742     PULS   2353 
     13574744     PULS   2318 
     13574746     PULS   2283 
     13574748     PULS   2250 
     13574750     PULS   2220 
     13574752     PULS   2190 
     13574754     PULS   2160 
     13574756     PULS   2138 
     13574758     PULS   2115 
     13574760     PULS   2098 
     13574762     PULS   2080 
     13574764     PULS   2068 
     13574766     PULS   2053 
     13574768     PULS   2045 
     13574770     PULS   2038 
     13574772     PULS   2028 
     13574774     PULS   2023 
     13574776     PULS   2018 
     13574778     PULS   2015 
     13574780     PULS   2015 
     13574782     PULS   2015 
     13574784     PULS   2018 
     13574786     PULS   2020 
     13574788     PULS   2020 
     13574790     PULS   2020 
     13574792     PULS   2020 
     13574794     PULS   2020 
     13574796     PULS   2023 
     13574798     PULS   2018 
     13574800     PULS   2015 
     13574802     PULS   2013 
     13574804     PULS   2008 
     13574806     PULS   2003 
     13574808     PULS   1998 
     13574810     PULS   1990 
     13574812     PULS   1983 
     13574814     PULS   1975 
     13574816     PULS   1965 
     13574818     PULS   1958 
     13574820     PULS   1950 
     13574822     PULS   1938 
     13574824     PULS   1928 
     13574826     PULS   1915 
     13574828     PULS   1903 
     13574830     PULS   1888 
     13574832     PULS   1873 
     13574834     PULS   1858 
     13574836     PULS   1845 
     13574838     PULS   1830 
     13574840     PULS   1815 
     13574842     PULS   1800 
     13574844     PULS   1783 
     13574846     PULS   1765 
     13574848     PULS   1750 
     13574850     PULS   1730 
     13574852     PULS   1713 
     13574854     PULS   1693 
     13574856     PULS   1678 
     13574858     PULS   1660 
     13574860     PULS   1648 
     13574862     PULS   1633 
     13574864     PULS   1620 
     13574866     PULS   1605 
     13574868     PULS   1590 
     13574870     PULS   1580 
     13574872     PULS   1568 
     13574874     PULS   1558 
     13574876     PULS   1550 
