UUID        = 580c007b-2513-44e2-b0e3-073272ff6917
ScanDate    = 20180913_092406
LogVersion  = EJA_1
LogDataType = RESP
SampleTime  = 8

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     13576196     RESP   2077 
     13576204     RESP   2062 
     13576212     RESP   2019 
     13576220     RESP   2004 
     13576228     RESP   1990 
     13576236     RESP   2004 
     13576244     RESP   2019 
     13576252     RESP   2019 
     13576260     RESP   2004 
     13576268     RESP   2019 
     13576284     RESP   2077 
     13576292     RESP   2077 
     13576300     RESP   2091 
     13576308     RESP   2106 
     13576316     RESP   2164 
     13576324     RESP   2193 
     13576332     RESP   2193 
     13576340     RESP   2164 
     13576348     RESP   2135 
     13576356     RESP   2135 
     13576364     RESP   2135 
     13576372     RESP   2120 
     13576380     RESP   2135 
     13576388     RESP   2120 
     13576396     RESP   2149 
     13576404     RESP   2149 
     13576412     RESP   2164 
     13576420     RESP   2164 
     13576428     RESP   2178 
     13576436     RESP   2193 
     13576444     RESP   2207 
     13576452     RESP   2222 
     13576460     RESP   2222 
     13576468     RESP   2236 
     13576476     RESP   2251 
     13576484     RESP   2236 
     13576492     RESP   2251 
     13576500     RESP   2265 
     13576508     RESP   2265 
     13576516     RESP   2265 
     13576524     RESP   2280 
     13576532     RESP   2309 
     13576540     RESP   2352 
     13576548     RESP   2410 
     13576556     RESP   2483 
     13576564     RESP   2541 
     13576572     RESP   2613 
     13576580     RESP   2686 
     13576588     RESP   2715 
     13576596     RESP   2715 
     13576604     RESP   2729 
     13576612     RESP   2758 
     13576620     RESP   2787 
     13576628     RESP   2802 
     13576636     RESP   2758 
     13576644     RESP   2758 
     13576652     RESP   2773 
     13576660     RESP   2787 
     13576668     RESP   2802 
     13576676     RESP   2787 
     13576684     RESP   2802 
     13576692     RESP   2816 
     13576700     RESP   2831 
     13576708     RESP   2874 
     13576716     RESP   2889 
     13576724     RESP   2918 
     13576732     RESP   2932 
     13576740     RESP   2976 
     13576748     RESP   2990 
     13576756     RESP   2990 
     13576764     RESP   2947 
     13576772     RESP   2874 
     13576780     RESP   2860 
     13576788     RESP   2831 
     13576796     RESP   2816 
     13576804     RESP   2787 
     13576812     RESP   2816 
     13576820     RESP   2802 
     13576828     RESP   2802 
     13576836     RESP   2787 
     13576844     RESP   2773 
     13576852     RESP   2773 
     13576860     RESP   2773 
     13576868     RESP   2744 
     13576876     RESP   2729 
     13576884     RESP   2729 
     13576892     RESP   2715 
     13576900     RESP   2700 
     13576908     RESP   2700 
     13576916     RESP   2700 
     13576924     RESP   2686 
     13576932     RESP   2686 
     13576940     RESP   2657 
     13576948     RESP   2642 
     13576956     RESP   2628 
     13576964     RESP   2613 
     13576972     RESP   2584 
     13576980     RESP   2584 
     13576988     RESP   2584 
     13576996     RESP   2599 
     13577004     RESP   2584 
     13577012     RESP   2555 
     13577020     RESP   2526 
     13577028     RESP   2497 
     13577036     RESP   2468 
     13577044     RESP   2454 
     13577052     RESP   2425 
