UUID        = 580c007b-2513-44e2-b0e3-073272ff6917
ScanDate    = 20180913_092406
LogVersion  = EJA_1
LogDataType = ACQUISITION_INFO
NumSlices   = 64
NumVolumes  = 300
NumEchoes   = 3

VOLUME   SLICE   ACQ_START_TICS  ACQ_FINISH_TICS  ECHO
     4      14         13587812         13587820     1
     4      30         13587812         13587820     1
     4      46         13587812         13587820     1
     4      62         13587812         13587820     1
     4      14         13587821         13587829     2
     4      30         13587821         13587829     2
     4      46         13587821         13587829     2
     4      62         13587821         13587829     2
     4       5         13587840         13587848     0
     4      21         13587840         13587848     0
     4      37         13587840         13587848     0
     4      53         13587840         13587848     0
     4       5         13587848         13587857     1
     4      21         13587848         13587857     1
     4      37         13587848         13587857     1
     4      53         13587848         13587857     1
     4       5         13587857         13587865     2
     4      21         13587857         13587865     2
     4      37         13587857         13587865     2
     4      53         13587857         13587865     2
     4      12         13587876         13587884     0
     4      28         13587876         13587884     0
